,Name,Val,time,space
1,eil51,607.0213502146175,0.6265289783477783,548348
2,berlin52,9142.320919924074,0.11939096450805664,117742
3,st70,926.4968855198379,0.10698199272155762,304414
4,eil76,702.8628561584578,0.1397409439086914,328156
5,pr76,129685.6501811681,0.0911250114440918,333166
6,rat99,1589.3158410438923,0.17221879959106445,400758
7,kroA100,30273.36694969382,0.23057889938354492,503499
8,kroB100,26947.756548971447,0.15366291999816895,373278
9,kroC100,29259.16849372237,0.18706011772155762,499614
10,kroD100,28109.388275897018,0.18106698989868164,424710
11,kroE100,30277.539771047057,0.24045491218566895,554750
12,rd100,11090.702775599391,0.29305410385131836,174672
13,eil101,896.1787881230491,0.2509729862213135,628846
14,lin105,20685.71160348751,0.15117812156677246,378630
15,pr107,57503.041524445405,0.1398317813873291,515710
16,pr124,80260.36922036178,0.15607380867004395,401958
17,bier127,143640.12505347707,0.47053003311157227,907630
18,ch130,7851.976758103907,0.27718281745910645,221400
19,pr136,127094.10997432534,0.13075900077819824,394926
20,pr144,66959.303041209,0.14548087120056152,342150
21,ch150,8645.60492597581,0.3172600269317627,661872
22,kroA150,37408.47341651153,0.6769568920135498,967846
23,kroB150,35174.34995660323,0.7737948894500732,968334
24,pr152,112042.72898954651,0.16711878776550293,400686
25,u159,55714.891135641825,0.4591391086578369,905788
26,rat195,2908.3814667734046,0.754960298538208,1028498
27,d198,21607.76081372729,1.223893165588379,1371181
28,kroA200,42699.49541349717,1.3769359588623047,1644444
29,kroB200,38978.906995041165,1.033339262008667,1300728
30,ts225,165571.62467484295,0.35872387886047363,462078
31,tsp225,5270.431612781315,1.0697417259216309,1343096
32,pr226,119975.55834748199,0.5658080577850342,311416
33,gil262,3312.3787990918395,2.1322591304779053,2318726
34,pr264,70878.26002272648,1.079308032989502,1294741
35,a280,3622.490225426928,1.6726200580596924,2381150
36,pr299,65567.12850797754,2.2353672981262207,2536502
37,lin318,58838.41387429771,2.9759039878845215,2721701
38,lin318,58838.41387429771,2.4798288345336914,2647248
39,rd400,20281.34090345807,14.035523891448975,5778030
40,fl417,18174.327809503542,5.2947211265563965,3102734
41,pr439,146151.6214467639,4.5290350914001465,3602838
42,pcb442,68806.06231850531,8.531363725662231,6368334
43,d493,46765.57748209692,13.735728025436401,6721469
44,u574,50578.67508487572,23.746406316757202,8816534
45,rat575,9102.977024093176,32.42246603965759,10083709
46,p654,50376.311381259446,6.954732179641724,3056894
47,d657,65850.4797990497,42.268269062042236,10795142
48,u724,59046.14044194702,50.61195087432861,13481014
49,rat783,12262.019381223146,84.14913010597229,20946606
50,pr1002,358369.5754065346,117.86841893196106,32385206
51,u1060,300742.600140928,148.82932686805725,31015574
52,vm1084,340733.9408722063,77.91831088066101,20581630
53,pcb1173,82860.95796293649,149.99624300003052,28424270
54,d1291,68650.67895493141,50.53432774543762,14453990
55,rl1304,369035.720666562,40.80615186691284,10439958
56,rl1323,373544.6133297861,47.53685688972473,10817934
57,nrw1379,78188.47483223786,498.19821882247925,56538670
58,fl1400,32431.94942907915,508.6437249183655,85120454
59,u1432,204866.11574490336,193.70472693443298,50331430
60,fl1577,30031.030789893503,120.21364617347717,28572430
61,d1655,84185.26123349734,235.11153721809387,44914046
62,vm1748,494230.3417184491,292.6192910671234,45207598
63,u1817,77858.87657359803,288.036004781723,51439406
64,rl1889,432242.824319438,124.60818791389465,25383814
65,d2103,95202.76615784931,54.922820806503296,9452294
66,u2152,90507.33826583649,436.184415102005,88234070
67,u2319,314597.55364024366,144.81112694740295,43400294
68,pr2392,535752.0114801462,1225.2658088207245,146661422
69,pcb3038,,1800.0,
70,fl3795,,1800.0,
71,fnl4461,,1800.0,
72,rl5915,,1800.0,
73,rl5934,,1800.0,
74,rl11849,,1800.0,
75,usa13509,,1800.0,
76,brd14051,,1800.0,
77,d15112,,1800.0,
78,d18512,,1800.0,
