,Name,Val,time,space
0,a,0.0,0.0,0
1,pr439.tsp,146151.6214467639,6.244361162185669,3643050
2,rd100.tsp,11090.702775599391,0.3995850086212158,89032
3,rl5934.tsp,796119.2491952454,2045.3059871196747,152194766
4,pcb442.tsp,68806.06231850531,7.090743064880371,6364062
5,u2319.tsp,314597.55364024366,171.80714201927185,43401030
6,gil262.tsp,3312.3787990918395,2.246738910675049,2327469
7,pcb3038.tsp,187150.13683476867,2310.7228088378906,181677246
8,lin105.tsp,20685.71160348751,4.78353214263916,215974
9,fl417.tsp,18174.327809503542,4.592800855636597,3254830
10,tsp225.tsp,5270.431612781315,1.0163052082061768,1327126
11,fl1400.tsp,32431.94942907915,509.00963282585144,85121094
12,nrw1379.tsp,78188.47483223786,482.0921061038971,56539878
13,d2103.tsp,95202.76615784931,43.4265239238739,9452974
14,kroA150.tsp,37408.47341651153,0.6105349063873291,968390
15,pcb1173.tsp,82860.95796293649,146.8362798690796,28424350
16,d198.tsp,21607.76081372729,0.9242527484893799,1298870
17,fl1577.tsp,30031.030789893503,108.53096413612366,28572694
18,ch130.tsp,7851.976758103907,0.2748711109161377,222026
19,kroB100.tsp,26947.756548971447,0.13977980613708496,372270
20,u1060.tsp,300742.600140928,152.4802529811859,31015542
21,berlin52.tsp,9142.320919924074,0.03867602348327637,117654
22,eil51.tsp,607.0213502146175,0.03687715530395508,139590
23,rl1304.tsp,369035.720666562,39.46428108215332,10368744
24,u2152.tsp,90507.33826583649,440.7284269332886,88234214
25,u724.tsp,59046.14044194702,49.059484004974365,13320518
26,kroD100.tsp,28109.388275897018,0.18412017822265625,480278
27,linhp318.tsp,58838.41387429771,2.462477684020996,371384
28,pr299.tsp,65567.12850797754,2.2002859115600586,2519702
29,rd400.tsp,20281.34090345807,10.890864133834839,5755861
30,vm1084.tsp,340733.9408722063,76.99118399620056,20421798
31,rat575.tsp,9102.977024093176,30.422799110412598,10083781
32,d1655.tsp,84185.26123349734,227.09626698493958,44913910
33,ch150.tsp,8645.60492597581,1.6281499862670898,695400
